ModelName	ModelRevision	Task	Accuracy	Accuracy_SE
EleutherAI/pythia-1b	step64000	isp_hindsight_neglect	0.453968253968253	0.028096800277810002
EleutherAI/pythia-1b	step64000	isp_into_the_unknown	0.475328947368421	0.011696269035864001
EleutherAI/pythia-1b	step64000	isp_memo_trap	0.7959401709401701	0.013179931885921
EleutherAI/pythia-1b	step64000	isp_modus_tollens	0.025889967637540003	0.0045189369619190005
EleutherAI/pythia-1b	step64000	isp_neqa	0.45666666666666605	0.028806947219396
EleutherAI/pythia-1b	step64000	isp_pattern_matching_suppression	0.282212885154061	0.011914457207298002
EleutherAI/pythia-1b	step64000	isp_redefine	0.67604501607717	0.013273778806080001
EleutherAI/pythia-1b	step64000	isp_repetitive_algebra	0.292	0.014385511563477001
EleutherAI/pythia-1b	step64000	isp_resisting_correction	0.9102668845315901	0.0033352161170280004
EleutherAI/pythia-1b	step64000	isp_sig_figs	0.37254151313585604	0.003344631350236
EleutherAI/pythia-1b	step64000	truthfulqa_mc1	0.24602203182374502	0.015077219200662002
EleutherAI/pythia-1b	step64000	truthfulqa_mc2	0.41189103955793005	0.014580538921222002
EleutherAI/pythia-6.9b	step128000	isp_hindsight_neglect	0.463492063492063	0.028141315964997003
EleutherAI/pythia-6.9b	step128000	isp_into_the_unknown	0.486842105263157	0.011706477613072001
EleutherAI/pythia-6.9b	step128000	isp_memo_trap	0.704059829059829	0.014927976325705002
EleutherAI/pythia-6.9b	step128000	isp_modus_tollens	0.03883495145631	0.005497647491118
EleutherAI/pythia-6.9b	step128000	isp_neqa	0.46	0.028823067684915
EleutherAI/pythia-6.9b	step128000	isp_pattern_matching_suppression	0.0	0.0
EleutherAI/pythia-6.9b	step128000	isp_redefine	0.479099678456591	0.014169505304658
EleutherAI/pythia-6.9b	step128000	isp_repetitive_algebra	0.559	0.015708779894242002
EleutherAI/pythia-6.9b	step128000	isp_resisting_correction	0.841367102396514	0.004263366103842
EleutherAI/pythia-6.9b	step128000	isp_sig_figs	0.373450734555199	0.0033462831902690005
EleutherAI/pythia-6.9b	step128000	truthfulqa_mc1	0.20440636474908203	0.014117174337432
EleutherAI/pythia-6.9b	step128000	truthfulqa_mc2	0.34770936765397104	0.013560973987012
EleutherAI/pythia-410m	step8000	isp_hindsight_neglect	0.549206349206349	0.028079660068225
EleutherAI/pythia-410m	step8000	isp_into_the_unknown	0.48793859649122806	0.011707125476164001
EleutherAI/pythia-410m	step8000	isp_memo_trap	0.840811965811965	0.011964618246987
EleutherAI/pythia-410m	step8000	isp_modus_tollens	1.0	0.0
EleutherAI/pythia-410m	step8000	isp_neqa	0.46666666666666606	0.028851417827642
EleutherAI/pythia-410m	step8000	isp_pattern_matching_suppression	0.28291316526610605	0.011923409696824
EleutherAI/pythia-410m	step8000	isp_redefine	0.673633440514469	0.013299309146010001
EleutherAI/pythia-410m	step8000	isp_repetitive_algebra	0.075	0.008333333333333
EleutherAI/pythia-410m	step8000	isp_resisting_correction	0.779411764705882	0.004838802401515001
EleutherAI/pythia-410m	step8000	isp_sig_figs	0.38498349045317504	0.003366145313445
EleutherAI/pythia-410m	step8000	truthfulqa_mc1	0.24969400244798	0.015152286907148002
EleutherAI/pythia-410m	step8000	truthfulqa_mc2	0.44787511570470606	0.015211261164576
EleutherAI/pythia-410m	step143000	isp_hindsight_neglect	0.43809523809523804	0.027999533688878003
EleutherAI/pythia-410m	step143000	isp_into_the_unknown	0.5027412280701751	0.011710357214135
EleutherAI/pythia-410m	step143000	isp_memo_trap	0.833333333333333	0.012187873735452001
EleutherAI/pythia-410m	step143000	isp_modus_tollens	1.0	0.0
EleutherAI/pythia-410m	step143000	isp_neqa	0.46	0.028823067684915
EleutherAI/pythia-410m	step143000	isp_pattern_matching_suppression	0.24509803921568601	0.011386839746091
EleutherAI/pythia-410m	step143000	isp_redefine	0.548231511254019	0.014115764377457
EleutherAI/pythia-410m	step143000	isp_repetitive_algebra	0.47000000000000003	0.015790799515836
EleutherAI/pythia-410m	step143000	isp_resisting_correction	0.903322440087146	0.0034486369386460005
EleutherAI/pythia-410m	step143000	isp_sig_figs	0.368904627458486	0.003337897294824
EleutherAI/pythia-410m	step143000	truthfulqa_mc1	0.23500611995104	0.014843061507731
EleutherAI/pythia-410m	step143000	truthfulqa_mc2	0.41281997131859005	0.014555173752414
EleutherAI/pythia-2.8b	step32000	isp_hindsight_neglect	0.453968253968253	0.028096800277810002
EleutherAI/pythia-2.8b	step32000	isp_into_the_unknown	0.49287280701754305	0.011709343431575
EleutherAI/pythia-2.8b	step32000	isp_memo_trap	0.78525641025641	0.013429506200884001
EleutherAI/pythia-2.8b	step32000	isp_modus_tollens	1.0	0.0
EleutherAI/pythia-2.8b	step32000	isp_neqa	0.46	0.028823067684915
EleutherAI/pythia-2.8b	step32000	isp_pattern_matching_suppression	0.079831932773109	0.007174801896809001
EleutherAI/pythia-2.8b	step32000	isp_redefine	0.5466237942122181	0.014120109468501
EleutherAI/pythia-2.8b	step32000	isp_repetitive_algebra	0.385	0.015395194445410001
EleutherAI/pythia-2.8b	step32000	isp_resisting_correction	0.8864379084967321	0.0037025769001560005
EleutherAI/pythia-2.8b	step32000	isp_sig_figs	0.37761401158060903	0.003353685815477
EleutherAI/pythia-2.8b	step32000	truthfulqa_mc1	0.230110159118727	0.014734557959807002
EleutherAI/pythia-2.8b	step32000	truthfulqa_mc2	0.39276394503302203	0.014308270228254
EleutherAI/pythia-6.9b	step4000	isp_hindsight_neglect	0.45079365079365	0.028079660068225
EleutherAI/pythia-6.9b	step4000	isp_into_the_unknown	0.47423245614035003	0.01169497207097
EleutherAI/pythia-6.9b	step4000	isp_memo_trap	0.881410256410256	0.010573208818107001
EleutherAI/pythia-6.9b	step4000	isp_modus_tollens	1.0	0.0
EleutherAI/pythia-6.9b	step4000	isp_neqa	0.45666666666666605	0.028806947219396
EleutherAI/pythia-6.9b	step4000	isp_pattern_matching_suppression	0.57422969187675	0.013089363298703001
EleutherAI/pythia-6.9b	step4000	isp_redefine	0.567524115755627	0.014051980669401
EleutherAI/pythia-6.9b	step4000	isp_repetitive_algebra	0.742	0.013842963108656
EleutherAI/pythia-6.9b	step4000	isp_resisting_correction	0.7483660130718951	0.005064130785393001
EleutherAI/pythia-6.9b	step4000	isp_sig_figs	0.385892711872517	0.003367625847306
EleutherAI/pythia-6.9b	step4000	truthfulqa_mc1	0.24357405140758803	0.015026354824910002
EleutherAI/pythia-6.9b	step4000	truthfulqa_mc2	0.43992823786851204	0.015194394038368001
EleutherAI/pythia-12b	step16000	isp_hindsight_neglect	0.5460317460317461	0.028096800277810002
EleutherAI/pythia-12b	step16000	isp_into_the_unknown	0.49342105263157804	0.011709519441788
EleutherAI/pythia-12b	step16000	isp_memo_trap	0.831196581196581	0.012250016898545001
EleutherAI/pythia-12b	step16000	isp_modus_tollens	0.9935275080906141	0.002281876981122
EleutherAI/pythia-12b	step16000	isp_neqa	0.46	0.028823067684915
EleutherAI/pythia-12b	step16000	isp_pattern_matching_suppression	0.284313725490196	0.011941208204800002
EleutherAI/pythia-12b	step16000	isp_redefine	0.6197749196141471	0.013768981446189
EleutherAI/pythia-12b	step16000	isp_repetitive_algebra	0.902	0.009406619184621
EleutherAI/pythia-12b	step16000	isp_resisting_correction	0.8779956427015251	0.003819417089246
EleutherAI/pythia-12b	step16000	isp_sig_figs	0.373307173278461	0.003346023213688
EleutherAI/pythia-12b	step16000	truthfulqa_mc1	0.23623011015911802	0.014869755015871
EleutherAI/pythia-12b	step16000	truthfulqa_mc2	0.395795538169852	0.014281750703130001
EleutherAI/pythia-410m	step128000	isp_hindsight_neglect	0.45079365079365	0.028079660068225
EleutherAI/pythia-410m	step128000	isp_into_the_unknown	0.5098684210526311	0.011708252109196
EleutherAI/pythia-410m	step128000	isp_memo_trap	0.8012820512820511	0.013049847892869
EleutherAI/pythia-410m	step128000	isp_modus_tollens	0.978155339805825	0.004159518717797001
EleutherAI/pythia-410m	step128000	isp_neqa	0.45	0.028770804599878002
EleutherAI/pythia-410m	step128000	isp_pattern_matching_suppression	0.197478991596638	0.010538448292509
EleutherAI/pythia-410m	step128000	isp_redefine	0.5844051446945331	0.013978370015049
EleutherAI/pythia-410m	step128000	isp_repetitive_algebra	0.387	0.015410011955493002
EleutherAI/pythia-410m	step128000	isp_resisting_correction	0.9050925925925921	0.0034202653143370005
EleutherAI/pythia-410m	step128000	isp_sig_figs	0.378618940517777	0.003355433172686
EleutherAI/pythia-410m	step128000	truthfulqa_mc1	0.24235006119951003	0.015000674373570002
EleutherAI/pythia-410m	step128000	truthfulqa_mc2	0.41813927801774803	0.014690044150442002
EleutherAI/pythia-2.8b	step4000	isp_hindsight_neglect	0.526984126984127	0.028175510942128
EleutherAI/pythia-2.8b	step4000	isp_into_the_unknown	0.483552631578947	0.011704195722739001
EleutherAI/pythia-2.8b	step4000	isp_memo_trap	0.858974358974358	0.011382386693650002
EleutherAI/pythia-2.8b	step4000	isp_modus_tollens	1.0	0.0
EleutherAI/pythia-2.8b	step4000	isp_neqa	0.45666666666666605	0.028806947219396
EleutherAI/pythia-2.8b	step4000	isp_pattern_matching_suppression	0.607843137254901	0.012924497952917
EleutherAI/pythia-2.8b	step4000	isp_redefine	0.7194533762057871	0.012742900336573002
EleutherAI/pythia-2.8b	step4000	isp_repetitive_algebra	0.547	0.015749255189977
EleutherAI/pythia-2.8b	step4000	isp_resisting_correction	0.76865468409586	0.0049210664595380005
EleutherAI/pythia-2.8b	step4000	isp_sig_figs	0.393262190745083	0.0033791700464300004
EleutherAI/pythia-2.8b	step4000	truthfulqa_mc1	0.24235006119951003	0.015000674373570002
EleutherAI/pythia-2.8b	step4000	truthfulqa_mc2	0.44667658267293603	0.015336307559122
EleutherAI/pythia-410m	step64000	isp_hindsight_neglect	0.45079365079365	0.028079660068225
EleutherAI/pythia-410m	step64000	isp_into_the_unknown	0.49013157894736803	0.011708252109196
EleutherAI/pythia-410m	step64000	isp_memo_trap	0.8247863247863241	0.012432226676704001
EleutherAI/pythia-410m	step64000	isp_modus_tollens	0.7702265372168281	0.011970869452653
EleutherAI/pythia-410m	step64000	isp_neqa	0.45666666666666605	0.028806947219396
EleutherAI/pythia-410m	step64000	isp_pattern_matching_suppression	0.049019607843137004	0.005715558983947
EleutherAI/pythia-410m	step64000	isp_redefine	0.6463022508038581	0.013561209273169
EleutherAI/pythia-410m	step64000	isp_repetitive_algebra	0.361	0.015195720118175
EleutherAI/pythia-410m	step64000	isp_resisting_correction	0.8939270152505441	0.003593491829588
EleutherAI/pythia-410m	step64000	isp_sig_figs	0.383452170167966	0.003363623723897
EleutherAI/pythia-410m	step64000	truthfulqa_mc1	0.24724602203182303	0.015102404797359002
EleutherAI/pythia-410m	step64000	truthfulqa_mc2	0.42140158804289	0.014682425805179
EleutherAI/pythia-70m	step4000	isp_hindsight_neglect	0.555555555555555	0.028041914729170003
EleutherAI/pythia-70m	step4000	isp_into_the_unknown	0.491228070175438	0.011708730895408002
EleutherAI/pythia-70m	step4000	isp_memo_trap	0.864316239316239	0.011199392543232
EleutherAI/pythia-70m	step4000	isp_modus_tollens	1.0	0.0
EleutherAI/pythia-70m	step4000	isp_neqa	0.45666666666666605	0.028806947219396
EleutherAI/pythia-70m	step4000	isp_pattern_matching_suppression	0.354341736694677	0.012661947980106001
EleutherAI/pythia-70m	step4000	isp_redefine	0.5739549839228291	0.01402591155591
EleutherAI/pythia-70m	step4000	isp_repetitive_algebra	0.543	0.015760691590136003
EleutherAI/pythia-70m	step4000	isp_resisting_correction	0.552015250544662	0.005803238091141001
EleutherAI/pythia-70m	step4000	isp_sig_figs	0.391539455424223	0.0033765438748770004
EleutherAI/pythia-70m	step4000	truthfulqa_mc1	0.27294981640146804	0.015594753632006
EleutherAI/pythia-70m	step4000	truthfulqa_mc2	0.47986618390429003	0.015772303815687002
EleutherAI/pythia-12b	step4000	isp_hindsight_neglect	0.47936507936507905	0.028192592877458
EleutherAI/pythia-12b	step4000	isp_into_the_unknown	0.486842105263157	0.011706477613072001
EleutherAI/pythia-12b	step4000	isp_memo_trap	0.848290598290598	0.011732019312872
EleutherAI/pythia-12b	step4000	isp_modus_tollens	1.0	0.0
EleutherAI/pythia-12b	step4000	isp_neqa	0.45666666666666605	0.028806947219396
EleutherAI/pythia-12b	step4000	isp_pattern_matching_suppression	0.620448179271708	0.012846248245323
EleutherAI/pythia-12b	step4000	isp_redefine	0.553054662379421	0.014101836343330001
EleutherAI/pythia-12b	step4000	isp_repetitive_algebra	0.61	0.015431725053866
EleutherAI/pythia-12b	step4000	isp_resisting_correction	0.767020697167756	0.0049331628020340005
EleutherAI/pythia-12b	step4000	isp_sig_figs	0.38474422165861105	0.0033657536374190004
EleutherAI/pythia-12b	step4000	truthfulqa_mc1	0.23745410036719702	0.014896277441041002
EleutherAI/pythia-12b	step4000	truthfulqa_mc2	0.429555711451835	0.015325386287011002
EleutherAI/pythia-2.8b	step128000	isp_hindsight_neglect	0.37460317460317405	0.027314844904682
EleutherAI/pythia-2.8b	step128000	isp_into_the_unknown	0.49780701754385903	0.011710420572631
EleutherAI/pythia-2.8b	step128000	isp_memo_trap	0.777777777777777	0.013596142350529
EleutherAI/pythia-2.8b	step128000	isp_modus_tollens	0.768608414239482	0.01200032117653
EleutherAI/pythia-2.8b	step128000	isp_neqa	0.45333333333333303	0.028789526978043004
EleutherAI/pythia-2.8b	step128000	isp_pattern_matching_suppression	0.016806722689075	0.0034028983855280003
EleutherAI/pythia-2.8b	step128000	isp_redefine	0.605305466237942	0.013863800156199
EleutherAI/pythia-2.8b	step128000	isp_repetitive_algebra	0.526	0.015797897758042002
EleutherAI/pythia-2.8b	step128000	isp_resisting_correction	0.8886165577342041	0.003671391974767
EleutherAI/pythia-2.8b	step128000	isp_sig_figs	0.38909891371967203	0.0033727478806960002
EleutherAI/pythia-2.8b	step128000	truthfulqa_mc1	0.20807833537331702	0.014210503473576
EleutherAI/pythia-2.8b	step128000	truthfulqa_mc2	0.356380477925035	0.013650422708753001
EleutherAI/pythia-1b	step32000	isp_hindsight_neglect	0.46666666666666606	0.028153858945648
EleutherAI/pythia-1b	step32000	isp_into_the_unknown	0.48793859649122806	0.011707125476164001
EleutherAI/pythia-1b	step32000	isp_memo_trap	0.8194444444444441	0.012579384157816
EleutherAI/pythia-1b	step32000	isp_modus_tollens	1.0	0.0
EleutherAI/pythia-1b	step32000	isp_neqa	0.45333333333333303	0.028789526978043004
EleutherAI/pythia-1b	step32000	isp_pattern_matching_suppression	0.26890756302521	0.011737501682276
EleutherAI/pythia-1b	step32000	isp_redefine	0.6318327974276521	0.013680062052688001
EleutherAI/pythia-1b	step32000	isp_repetitive_algebra	0.202	0.012702651587655002
EleutherAI/pythia-1b	step32000	isp_resisting_correction	0.8540305010893241	0.004120320368926
EleutherAI/pythia-1b	step32000	isp_sig_figs	0.37962386945494503	0.0033571652246880005
EleutherAI/pythia-1b	step32000	truthfulqa_mc1	0.23255813953488302	0.014789157531080002
EleutherAI/pythia-1b	step32000	truthfulqa_mc2	0.42016908515161205	0.014769884524132
EleutherAI/pythia-70m	step128000	isp_hindsight_neglect	0.5523809523809521	0.028061365638353004
EleutherAI/pythia-70m	step128000	isp_into_the_unknown	0.49342105263157804	0.011709519441788
EleutherAI/pythia-70m	step128000	isp_memo_trap	0.8621794871794871	0.011273271548575001
EleutherAI/pythia-70m	step128000	isp_modus_tollens	0.7702265372168281	0.011970869452653
EleutherAI/pythia-70m	step128000	isp_neqa	0.45666666666666605	0.028806947219396
EleutherAI/pythia-70m	step128000	isp_pattern_matching_suppression	0.255602240896358	0.011547098500218001
EleutherAI/pythia-70m	step128000	isp_redefine	0.48633440514469406	0.014176602808503
EleutherAI/pythia-70m	step128000	isp_repetitive_algebra	0.668	0.014899597242811001
EleutherAI/pythia-70m	step128000	isp_resisting_correction	0.63235294117647	0.005626762123096001
EleutherAI/pythia-70m	step128000	isp_sig_figs	0.38952959754988703	0.0033734242122920003
EleutherAI/pythia-70m	step128000	truthfulqa_mc1	0.23867809057527503	0.014922629695456002
EleutherAI/pythia-70m	step128000	truthfulqa_mc2	0.468535158016526	0.015563402289580001
EleutherAI/pythia-410m	step4000	isp_hindsight_neglect	0.47619047619047605	0.028184622595998004
EleutherAI/pythia-410m	step4000	isp_into_the_unknown	0.482456140350877	0.011703322288963001
EleutherAI/pythia-410m	step4000	isp_memo_trap	0.8782051282051281	0.010695637623368
EleutherAI/pythia-410m	step4000	isp_modus_tollens	0.9983818770226531	0.0011437224031760002
EleutherAI/pythia-410m	step4000	isp_neqa	0.46	0.028823067684915
EleutherAI/pythia-410m	step4000	isp_pattern_matching_suppression	0.30532212885154003	0.012191548949659
EleutherAI/pythia-410m	step4000	isp_redefine	0.6414790996784561	0.013602318207674002
EleutherAI/pythia-410m	step4000	isp_repetitive_algebra	0.23800000000000002	0.013473586661967001
EleutherAI/pythia-410m	step4000	isp_resisting_correction	0.646922657952069	0.005577304311235
EleutherAI/pythia-410m	step4000	isp_sig_figs	0.38900320620184703	0.0033725972089310003
EleutherAI/pythia-410m	step4000	truthfulqa_mc1	0.24969400244798	0.015152286907148002
EleutherAI/pythia-410m	step4000	truthfulqa_mc2	0.45340196926043	0.015391411601583001
EleutherAI/pythia-70m	step16000	isp_hindsight_neglect	0.539682539682539	0.028127626334238
EleutherAI/pythia-70m	step16000	isp_into_the_unknown	0.48903508771929804	0.011707716972024001
EleutherAI/pythia-70m	step16000	isp_memo_trap	0.8931623931623931	0.010102328455208
EleutherAI/pythia-70m	step16000	isp_modus_tollens	1.0	0.0
EleutherAI/pythia-70m	step16000	isp_neqa	0.45666666666666605	0.028806947219396
EleutherAI/pythia-70m	step16000	isp_pattern_matching_suppression	0.43067226890756305	0.013108187251539002
EleutherAI/pythia-70m	step16000	isp_redefine	0.5241157556270091	0.014165395563863
EleutherAI/pythia-70m	step16000	isp_repetitive_algebra	0.774	0.013232501619085001
EleutherAI/pythia-70m	step16000	isp_resisting_correction	0.65958605664488	0.005529713609747001
EleutherAI/pythia-70m	step16000	isp_sig_figs	0.39043881896923005	0.00337484294067
EleutherAI/pythia-70m	step16000	truthfulqa_mc1	0.268053855569155	0.015506204722834002
EleutherAI/pythia-70m	step16000	truthfulqa_mc2	0.47449359611516	0.015632934169912002
EleutherAI/pythia-1.4b	step8000	isp_hindsight_neglect	0.514285714285714	0.028205113054972003
EleutherAI/pythia-1.4b	step8000	isp_into_the_unknown	0.48629385964912203	0.011706132540922001
EleutherAI/pythia-1.4b	step8000	isp_memo_trap	0.8782051282051281	0.010695637623368
EleutherAI/pythia-1.4b	step8000	isp_modus_tollens	0.826051779935275	0.010786490155717001
EleutherAI/pythia-1.4b	step8000	isp_neqa	0.45666666666666605	0.028806947219396
EleutherAI/pythia-1.4b	step8000	isp_pattern_matching_suppression	0.47268907563025203	0.013216278462755
EleutherAI/pythia-1.4b	step8000	isp_redefine	0.6840836012861731	0.013185758295686
EleutherAI/pythia-1.4b	step8000	isp_repetitive_algebra	0.6880000000000001	0.014658474370509001
EleutherAI/pythia-1.4b	step8000	isp_resisting_correction	0.834014161220043	0.004341956488805
EleutherAI/pythia-1.4b	step8000	isp_sig_figs	0.386179834425994	0.0033680908087880003
EleutherAI/pythia-1.4b	step8000	truthfulqa_mc1	0.25458996328029304	0.015250117079156002
EleutherAI/pythia-1.4b	step8000	truthfulqa_mc2	0.44288019191389305	0.014892818666013
EleutherAI/pythia-1b	step128000	isp_hindsight_neglect	0.5460317460317461	0.028096800277810002
EleutherAI/pythia-1b	step128000	isp_into_the_unknown	0.487390350877192	0.011706808591087001
EleutherAI/pythia-1b	step128000	isp_memo_trap	0.7884615384615381	0.013356083387462001
EleutherAI/pythia-1b	step128000	isp_modus_tollens	0.119741100323624	0.009238327539235001
EleutherAI/pythia-1b	step128000	isp_neqa	0.45666666666666605	0.028806947219396
EleutherAI/pythia-1b	step128000	isp_pattern_matching_suppression	0.33053221288515405	0.012452591783947002
EleutherAI/pythia-1b	step128000	isp_redefine	0.7017684887459801	0.012975919182844001
EleutherAI/pythia-1b	step128000	isp_repetitive_algebra	0.303	0.014539683710535002
EleutherAI/pythia-1b	step128000	isp_resisting_correction	0.890659041394335	0.0036417523983220002
EleutherAI/pythia-1b	step128000	isp_sig_figs	0.36799540603914405	0.003336182011251
EleutherAI/pythia-1b	step128000	truthfulqa_mc1	0.24235006119951003	0.015000674373570002
EleutherAI/pythia-1b	step128000	truthfulqa_mc2	0.41094156915019603	0.014464840806767002
EleutherAI/pythia-1.4b	step2000	isp_hindsight_neglect	0.536507936507936	0.028141315964997003
EleutherAI/pythia-1.4b	step2000	isp_into_the_unknown	0.48903508771929804	0.011707716972024001
EleutherAI/pythia-1.4b	step2000	isp_memo_trap	0.8952991452991451	0.010012750466241001
EleutherAI/pythia-1.4b	step2000	isp_modus_tollens	0.718446601941747	0.012798060395178001
EleutherAI/pythia-1.4b	step2000	isp_neqa	0.46	0.028823067684915
EleutherAI/pythia-1.4b	step2000	isp_pattern_matching_suppression	0.6274509803921561	0.012798811032208
EleutherAI/pythia-1.4b	step2000	isp_redefine	0.55225080385852	0.014104250784140002
EleutherAI/pythia-1.4b	step2000	isp_repetitive_algebra	0.742	0.013842963108656
EleutherAI/pythia-1.4b	step2000	isp_resisting_correction	0.6706154684095861	0.005484684107854
EleutherAI/pythia-1.4b	step2000	isp_sig_figs	0.391348040388572	0.0033762493552280002
EleutherAI/pythia-1.4b	step2000	truthfulqa_mc1	0.25458996328029304	0.015250117079156002
EleutherAI/pythia-1.4b	step2000	truthfulqa_mc2	0.46767342655124106	0.015522612075661002
EleutherAI/pythia-1.4b	step32000	isp_hindsight_neglect	0.47301587301587306	0.028175510942128
EleutherAI/pythia-1.4b	step32000	isp_into_the_unknown	0.49287280701754305	0.011709343431575
EleutherAI/pythia-1.4b	step32000	isp_memo_trap	0.8247863247863241	0.012432226676704001
EleutherAI/pythia-1.4b	step32000	isp_modus_tollens	0.9943365695792881	0.002135369384951
EleutherAI/pythia-1.4b	step32000	isp_neqa	0.47000000000000003	0.028863651326417
EleutherAI/pythia-1.4b	step32000	isp_pattern_matching_suppression	0.086834733893557	0.0074543442361500005
EleutherAI/pythia-1.4b	step32000	isp_redefine	0.6390675241157551	0.013622310970745
EleutherAI/pythia-1.4b	step32000	isp_repetitive_algebra	0.45	0.015740004693383002
EleutherAI/pythia-1.4b	step32000	isp_resisting_correction	0.898692810457516	0.0035211862982450002
EleutherAI/pythia-1.4b	step32000	isp_sig_figs	0.381538019811456	0.003360422115466
EleutherAI/pythia-1.4b	step32000	truthfulqa_mc1	0.23867809057527503	0.014922629695456002
EleutherAI/pythia-1.4b	step32000	truthfulqa_mc2	0.40499852498855704	0.014585664636256001
EleutherAI/pythia-1.4b	step128000	isp_hindsight_neglect	0.43174603174603104	0.027952495861671003
EleutherAI/pythia-1.4b	step128000	isp_into_the_unknown	0.491228070175438	0.011708730895408002
EleutherAI/pythia-1.4b	step128000	isp_memo_trap	0.767094017094017	0.013823207101837001
